Project name, date added(YYYY-MM-DD), link to YML file
Garden Rip and Seed Tool,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Garden%20Rip%20and%20Seed%20Tool.yml
Garden water sprinkler,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Garden%20water%20sprinkler.yml
Gravity Light Attachment,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Gravity%20Light%20Attachment.yml
Ground collector,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ground%20collector.yml
Grout Trowel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Grout%20Trowel.yml
Gyro mini nutating mixer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Gyro%20mini%20nutating%20mixer.yml
HSU Bike powered washing machine,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-HSU%20Bike%20powered%20washing%20machine.yml
Hammer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hammer.yml
Hand Drill,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Drill.yml
Hand Pump Drill (Spring-Loaded),2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Pump%20Drill%20(Spring-Loaded).yml
Hand Rotary Edger,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Rotary%20Edger.yml
Hand Shovel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Shovel.yml
Hand Washing Station,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Washing%20Station.yml
Hand Wood Planer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20Wood%20Planer.yml
Hand cultivator,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hand%20cultivator.yml
Handlebar grips,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Handlebar%20grips.yml
Hands-Free Crutch,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hands-Free%20Crutch.yml
Hanging Garden that Minimizes Water Use,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hanging%20Garden%20that%20Minimizes%20Water%20Use.yml
Heliostat or Sun Tracker,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Heliostat%20or%20Sun%20Tracker.yml
Hemostats,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hemostats.yml
Hinges,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hinges.yml
Home biogas system (Philippine BioDigesters),2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Home%20biogas%20system%20(Philippine%20BioDigesters).yml
Homemade Wheel Hoe,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Homemade%20Wheel%20Hoe.yml
Honey Forge,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Honey%20Forge.yml
Hori Hori Knife  Shovel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hori%20Hori%20Knife%20%20Shovel.yml
Horseshoes,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Horseshoes.yml
Hydroponic halo ring,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Hydroponic%20halo%20ring.yml
Ice Scraper,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Ice%20Scraper.yml
Improved 3D Printed Bike Grips,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Improved%203D%20Printed%20Bike%20Grips.yml
Improved GPS Belt Clip,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Improved%20GPS%20Belt%20Clip.yml
Improved Hammer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Improved%20Hammer.yml
Improved PET Bottle Stripper,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Improved%20PET%20Bottle%20Stripper.yml
Improved Potato Ricer,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Improved%20Potato%20Ricer.yml
Inside Corner Trowel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Inside%20Corner%20Trowel.yml
Integrated Smoke Alarm Delta Mod,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Integrated%20Smoke%20Alarm%20Delta%20Mod.yml
